label,test_num,task_name,priority,duration_ms,total_events,events_per_sec,pass_count,fail_count,stress_count,warning_count,pass_rate_pct,exec_min_us,exec_max_us,exec_avg_us,interval_min_ms,interval_max_ms,interval_avg_ms,top_event,top_event_count
fault_injection,8,CPUOverload,3,1007,1,0.99,0,0,1,0,0.0,0,0,0,0,0,0,OVERLOAD_STRESS,1
fault_injection,8,CriticalWork,3,1007,3,2.98,1,2,0,0,33.3,182000,313000,247500.0,50,617,333.5,DEADLINE_MISS,2
